1736, 990, 391, 263, 625, 1623, 1937, 1972, 550, 1926, 1680, 1278, 902, 966, 358, 198, 960, 284, 420, 1428, 172, 1779, 1412, 1007
1504, 907, 704, 1301, 133, 1807, 328, 762, 2012, 1726, 144, 1766, 94, 1567, 1820, 633, 1234, 1484, 1292, 145, 1045, 1654, 1182, 1050
769, 939, 555, 1990, 1297, 2029, 1219, 1263, 771, 1404, 623, 1617, 699, 99, 324, 1186, 1866, 1783, 1420, 2077, 1209, 415, 103, 235
1442, 1413, 1180, 703, 846, 1249, 706, 1300, 1464, 395, 118, 1406, 1828, 802, 697, 1207, 45, 1216, 1659, 437, 1125, 250, 457, 1798
1805, 640, 1258, 1262, 147, 2075, 1947, 779, 1165, 278, 366, 355, 854, 253, 2121, 2085, 878, 501, 50, 2073, 1148, 225, 1641, 611
257, 843, 334, 1993, 1315, 1697, 753, 131, 1550, 376, 1789, 159, 851, 1572, 1354, 1853, 219, 1043, 289, 390, 1452, 700, 1651, 1251
1226, 197, 659, 323, 685, 1196, 1914, 1117, 1171, 333, 1645, 1933, 157, 719, 524, 260, 1981, 1797, 1505, 1470, 791, 1715, 642, 538
1198, 1044, 1126, 1992, 1339, 1581, 1366, 1817, 937, 948, 1023, 87, 403, 1217, 938, 836, 1893, 1668, 1076, 2095, 544, 195, 1064, 379
784, 521, 1415, 254, 413, 1265, 105, 2046, 67, 183, 1211, 734, 1230, 1030, 1984, 974, 1340, 525, 1939, 1033, 1073, 1854, 1146, 1398
1643, 248, 1019, 716, 1109, 51, 8, 1061, 364, 973, 1552, 733, 962, 1898, 1439, 1239, 170, 850, 1423, 2035, 1393, 1833, 1074, 564
874, 1949, 449, 1699, 671, 1160, 362, 883, 1105, 1244, 168, 717, 574, 1970, 1016, 563, 1513, 421, 1435, 1320, 1648, 613, 998, 1289
1527, 1431, 438, 1376, 1615, 1829, 1687, 882, 1663, 545, 1174, 1502, 789, 217, 736, 1113, 892, 1604, 1692, 126, 675, 726, 428, 171
1769, 1350, 1684, 718, 598, 408, 586, 1959, 1857, 799, 1609, 129, 353, 1078, 346, 2019, 488, 608, 692, 161, 281, 1325, 3, 834
944, 1357, 1827, 2086, 752, 1536, 100, 676, 325, 72, 1808, 1370, 1975, 1685, 1075, 484, 911, 1566, 1864, 1456, 215, 1952, 2059, 319
1221, 1976, 141, 107, 370, 926, 855, 1496, 959, 1029, 373, 478, 1889, 2042, 701, 220, 740, 163, 272, 1228, 1516, 499, 963, 361
1719, 554, 1487, 2130, 1430, 1896, 1341, 2062, 2036, 943, 1012, 467, 326, 404, 1881, 1066, 2103, 2024, 705, 2082, 887, 1902, 1419, 56
1543, 2106, 592, 1295, 987, 344, 18, 1834, 466, 175, 1282, 1776, 1094, 1967, 1327, 1650, 363, 2056, 1212, 1291, 575, 993, 433, 10
765, 537, 1469, 609, 468, 1750, 1166, 162, 401, 889, 1742, 748, 1730, 1433, 1518, 1161, 480, 650, 837, 1506, 1246, 523, 731, 1421
666, 1906, 2044, 434, 15, 119, 879, 2079, 214, 1107, 68, 781, 2105, 1205, 1468, 2041, 24, 774, 994, 435, 1847, 581, 1920, 713
1904, 221, 411, 1188, 1364, 1163, 1852, 1995, 52, 519, 1718, 109, 1969, 23, 979, 932, 606, 442, 1935, 2004, 571, 57, 634, 1535
1602, 1384, 1175, 1876, 785, 2069, 1049, 981, 1554, 1312, 1058, 210, 908, 440, 122, 245, 1303, 479, 1463, 1610, 1491, 121, 190, 1116
256, 1973, 695, 393, 517, 2051, 2129, 930, 1691, 2113, 910, 1155, 1368, 30, 935, 868, 2020, 1588, 251, 978, 1112, 1375, 1758, 491
594, 431, 93, 222, 117, 1500, 780, 760, 447, 1498, 1020, 1951, 160, 1915, 177, 848, 1800, 356, 2039, 1743, 1386, 1445, 655, 1611
515, 2009, 767, 651, 2040, 1744, 763, 1476, 1009, 2015, 897, 800, 1873, 535, 241, 1157, 1040, 1676, 1728, 1021, 541, 86, 1213, 2104
12, 1480, 305, 945, 822, 37, 1070, 856, 1512, 4, 1141, 536, 1636, 2134, 1768, 619, 1331, 1446, 965, 340, 2136, 406, 886, 2110
270, 73, 288, 89, 436, 1868, 912, 287, 1895, 306, 2061, 2092, 1052, 85, 310, 2000, 2, 2068, 1215, 351, 97, 1329, 1670, 1804
1314, 188, 1705, 285, 995, 614, 317, 1720, 790, 982, 1639, 819, 1471, 283, 1367, 124, 1840, 2071, 1145, 577, 459, 1235, 74, 803
151, 1381, 1900, 925, 513, 1810, 842, 1858, 528, 1503, 951, 1176, 1492, 450, 96, 223, 9, 1903, 1835, 1568, 649, 1822, 823, 1093
1583, 622, 371, 1592, 984, 1997, 617, 999, 888, 1460, 1478, 384, 1210, 1001, 2112, 1438, 2120, 125, 1661, 964, 562, 62, 368, 1793
1158, 1953, 1954, 867, 95, 728, 1667, 1396, 808, 543, 585, 1220, 92, 1802, 1296, 7, 1522, 1100, 672, 2054, 1071, 1874, 1232, 1759
1318, 901, 1474, 968, 1717, 813, 621, 1032, 869, 425, 1355, 584, 1055, 859, 1103, 956, 130, 139, 1169, 268, 156, 1290, 881, 443
300, 829, 1918, 14, 330, 2128, 1737, 1451, 1501, 1897, 1576, 483, 1519, 1709, 1559, 34, 638, 1017, 269, 977, 1143, 873, 639, 1575
1557, 777, 243, 303, 1400, 486, 44, 1886, 742, 845, 1088, 1630, 1674, 1908, 604, 1274, 1082, 1453, 308, 1059, 1240, 805, 1635, 904
877, 720, 754, 6, 1454, 1524, 2050, 1599, 1712, 1441, 1275, 337, 1087, 1989, 1999, 667, 477, 1286, 1264, 1652, 1548, 1653, 1062, 1741
587, 570, 1475, 1266, 1740, 182, 167, 694, 1786, 1042, 1968, 166, 1826, 1930, 385, 2107, 282, 1919, 1429, 644, 335, 549, 1888, 1515
1683, 1197, 1716, 1110, 1871, 809, 534, 153, 1729, 1531, 1493, 485, 1883, 53, 918, 612, 654, 876, 656, 1562, 1701, 1832, 1193, 1537
78, 1352, 375, 60, 1614, 1081, 1731, 1616, 381, 1379, 21, 1111, 1682, 1894, 1859, 1089, 470, 1201, 758, 1092, 1867, 679, 2006, 1688
816, 1544, 138, 839, 327, 169, 744, 1285, 41, 1394, 674, 1473, 1457, 916, 1855, 1580, 1039, 2058, 547, 815, 714, 2014, 481, 207
