2069, 144, 1888, 1854
1846, 294, 1568, 32
568, 1550, 886, 1849
587, 1061, 1863, 1084
359, 648, 880, 782
376, 1560, 857, 1758
1656, 1623, 541, 1343
1500, 810, 409, 1803
580, 138, 1113, 1551
831, 1451, 924, 1596
632, 256, 604, 1247
82, 1476, 224, 612
955, 752, 1386, 820
109, 1140, 749, 2007
1957, 1723, 1506, 542
1615, 625, 740, 443
173, 647, 421, 2035
1390, 1355, 268, 1052
1037, 614, 1224, 591
1220, 798, 803, 281
1686, 98, 805, 1362
829, 1549, 190, 251
389, 1301, 970, 1359
1726, 1605, 1240, 1326
312, 463, 1036, 42
2048, 2113, 319, 1099
652, 21, 1412, 1090
438, 316, 1242, 121
1165, 1869, 1006, 1178
940, 159, 1094, 2111
1521, 337, 974, 1899
1614, 447, 636, 236
1160, 939, 630, 403
2129, 131, 170, 1047
676, 478, 1642, 283
1268, 1719, 192, 791
706, 832, 669, 1153
378, 1592, 1793, 34
69, 827, 383, 1925
4, 274, 672, 1633
1379, 187, 1239, 341
508, 100, 848, 1302
1541, 395, 1471, 1994
980, 1545, 2123, 2085
913, 997, 2109, 75
288, 2002, 1573, 992
1080, 1258, 280, 3
588, 516, 1529, 124
1976, 566, 1121, 2058
709, 1679, 143, 1147
769, 1015, 2098, 2004
551, 670, 1856, 616
2051, 559, 1486, 64
1294, 537, 154, 130
257, 1427, 494, 2043
990, 1712, 804, 491
476, 1020, 501, 2084
1683, 1985, 1075, 998
800, 1042, 9, 1611
1937, 1585, 1177, 1528
1376, 944, 668, 26
618, 1776, 204, 1401
898, 744, 1195, 1122
1391, 1005, 1859, 152
1805, 869, 1235, 24
67, 765, 1063, 302
1927, 1019, 261, 1028
756, 1300, 642, 198
2022, 40, 206, 1184
349, 856, 1884, 1520
1014, 976, 833, 465
961, 15, 727, 1079
1527, 485, 1372, 1986
1454, 688, 180, 2104
33, 1297, 523, 1675
1818, 1104, 201, 1463
430, 1752, 1844, 1634
589, 661, 2033, 29
515, 1665, 1403, 1763
1065, 594, 1689, 567
1108, 127, 220, 11
812, 889, 1432, 1694
1197, 763, 394, 1754
232, 369, 160, 1411
1878, 362, 1252, 332
838, 1378, 1186, 1202
725, 1313, 1862, 1561
1666, 2116, 1873, 189
2115, 984, 43, 1340
720, 560, 83, 524
446, 971, 1298, 675
693, 166, 1864, 1870
1813, 748, 1646, 415
1876, 788, 1238, 184
1900, 1380, 1456, 1572
276, 366, 1874, 1093
377, 1760, 859, 2049
1366, 1110, 10, 1934
1731, 1341, 1579, 564
1736, 2001, 1887, 1204
1070, 1031, 1625, 1040
742, 373, 1250, 1903
1602, 2106, 161, 934
855, 1115, 1981, 326
1740, 1829, 1669, 736
176, 1643, 1001, 1021
1057, 1117, 1820, 428
1394, 951, 482, 106
785, 88, 953, 737
1275, 47, 63, 298
703, 1219, 435, 1311
1101, 1808, 352, 1292
2040, 41, 1304, 1045
1266, 175, 451, 2019
773, 826, 1526, 1212
1895, 728, 1621, 903
1714, 297, 1346, 454
1744, 506, 2055, 230
1029, 1022, 815, 450
148, 1335, 1644, 1365
901, 1221, 1842, 1132
846, 1256, 315, 1970
517, 72, 581, 291
1680, 1830, 1631, 673
426, 1953, 301, 388
247, 51, 909, 164
861, 486, 1098, 906
422, 602, 789, 1494
2100, 1777, 1806, 1423
445, 1904, 2120, 1538
213, 808, 1333, 1026
907, 1607, 2117, 583
1049, 120, 1861, 225
927, 1397, 1700, 1452
81, 391, 1482, 1189
555, 1790, 1507, 1468
1170, 682, 1458, 991
658, 101, 1670, 54
1083, 89, 1709, 770
1244, 1172, 1618, 90
