1473, 183, 1687, 515, 243, 18, 741, 319, 2055, 32, 233, 880
1307, 720, 1396, 1717, 252, 1300, 1250, 1965, 1862, 1389, 868, 697
1691, 839, 120, 2126, 860, 1808, 1003, 1551, 171, 480, 607, 1077
15, 1536, 1472, 19, 536, 901, 1433, 5, 1558, 1089, 1507, 1453
89, 723, 1585, 285, 1475, 1072, 216, 994, 1856, 1063, 830, 261
1282, 1493, 1663, 1353, 1049, 25, 1867, 428, 886, 1704, 642, 1659
1576, 984, 1038, 1697, 883, 599, 1791, 1322, 2083, 612, 1252, 1621
1352, 1954, 1041, 436, 945, 897, 1981, 1509, 158, 1657, 1828, 1000
118, 1895, 1848, 17, 1347, 502, 533, 1611, 1528, 705, 1788, 1969
1170, 768, 1141, 1922, 879, 1607, 1970, 2011, 1292, 406, 936, 104
527, 1083, 517, 1739, 1556, 816, 1253, 79, 1112, 737, 1296, 433
1404, 1483, 1921, 1686, 1574, 513, 518, 24, 459, 193, 1669, 960
1335, 1845, 1009, 1188, 1766, 2092, 1833, 1838, 1067, 1214, 1259, 1291
1279, 1557, 1441, 775, 1310, 133, 929, 1629, 1288, 1103, 1579, 918
2040, 401, 981, 48, 1725, 865, 177, 1064, 957, 1239, 22, 2127
1592, 1308, 452, 1594, 297, 1355, 453, 724, 692, 1685, 1638, 525
780, 148, 1597, 131, 1552, 1622, 1604, 421, 31, 1709, 643, 1401
1499, 1545, 753, 1276, 969, 1245, 7, 1090, 1052, 367, 906, 2134
1495, 798, 1418, 569, 1328, 968, 116, 1017, 2121, 1411, 314, 363
1690, 550, 954, 855, 1996, 1019, 1235, 1529, 1363, 1567, 782, 1403
416, 1199, 1816, 621, 1269, 1767, 698, 956, 689, 1644, 170, 230
1206, 344, 1637, 627, 734, 1046, 409, 1398, 1715, 1434, 1093, 1811
640, 1454, 1221, 1142, 2100, 1295, 9, 1388, 1463, 481, 155, 1727
1714, 996, 140, 1643, 1731, 1764, 1855, 1351, 1678, 310, 2068, 758
1015, 14, 1904, 1583, 1814, 703, 892, 1873, 1573, 311, 681, 719
1133, 1231, 548, 87, 109, 1405, 656, 1534, 1100, 1515, 857, 1660
59, 813, 191, 1126, 127, 1294, 1034, 993, 1, 1917, 2054, 1952
1144, 80, 135, 716, 1220, 1504, 1851, 209, 341, 74, 858, 1432
2015, 792, 277, 1293, 2050, 1278, 654, 1169, 1728, 1092, 903, 392
1176, 320, 1381, 476, 28, 872, 1986, 385, 332, 76, 962, 219
1769, 838, 1277, 800, 1987, 1163, 823, 1323, 1734, 1386, 1603, 479
951, 632, 228, 973, 55, 508, 992, 757, 1546, 435, 1650, 121
1606, 58, 144, 1002, 1871, 1852, 1139, 2056, 1586, 834, 1701, 1802
635, 1180, 587, 2108, 47, 888, 740, 172, 905, 405, 1800, 1799
512, 176, 2088, 473, 917, 1813, 1888, 540, 388, 1372, 1257, 611
1425, 51, 196, 1192, 1672, 1241, 606, 2077, 347, 1898, 1484, 1331
412, 1616, 1339, 1268, 257, 1395, 932, 1024, 1722, 289, 1841, 848
786, 366, 1736, 2081, 16, 1973, 1286, 1036, 65, 1688, 2023, 106
597, 1131, 580, 685, 278, 1496, 1694, 887, 985, 1598, 1702, 2095
384, 913, 1431, 1107, 1413, 1042, 20, 747, 2028, 749, 64, 1471
1857, 585, 119, 670, 1744, 1392, 1903, 1059, 1853, 85, 2013, 1854
